yourlist:M20190428216DA2B77BFBD2E6699CA9B6D1C41EB20A1B1A1	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
A2NJV5	A2NJV5	KV229_HUMAN	reviewed	Immunoglobulin kappa variable 2-29	IGKV2-29	Homo sapiens (Human)	120
A0A087WUL8	A0A087WUL8	NBPFJ_HUMAN	reviewed	Neuroblastoma breakpoint family member 19	NBPF19	Homo sapiens (Human)	3843
P04433	P04433	KV311_HUMAN	reviewed	Immunoglobulin kappa variable 3-11 (Ig kappa chain V-III region VG)	IGKV3-11	Homo sapiens (Human)	115
A0A0A0MS14	A0A0A0MS14	HV145_HUMAN	reviewed	Immunoglobulin heavy variable 1-45	IGHV1-45	Homo sapiens (Human)	117
A0A0A0MT36	A0A0A0MT36	KVD21_HUMAN	reviewed	Immunoglobulin kappa variable 6D-21	IGKV6D-21	Homo sapiens (Human)	114
A0A0B4J1V0	A0A0B4J1V0	HV315_HUMAN	reviewed	Immunoglobulin heavy variable 3-15	IGHV3-15	Homo sapiens (Human)	119
A0A0B4J1V6	A0A0B4J1V6	HV373_HUMAN	reviewed	Immunoglobulin heavy variable 3-73	IGHV3-73	Homo sapiens (Human)	119
A0A0B4J1X5	A0A0B4J1X5	HV374_HUMAN	reviewed	Immunoglobulin heavy variable 3-74	IGHV3-74	Homo sapiens (Human)	117
A0A0B4J1Y9	A0A0B4J1Y9	HV372_HUMAN	reviewed	Immunoglobulin heavy variable 3-72	IGHV3-72	Homo sapiens (Human)	119
A0A0C4DH34	A0A0C4DH34	HV428_HUMAN	reviewed	Immunoglobulin heavy variable 4-28	IGHV4-28	Homo sapiens (Human)	117
A0A0C4DH38	A0A0C4DH38	HV551_HUMAN	reviewed	Immunoglobulin heavy variable 5-51	IGHV5-51	Homo sapiens (Human)	117
P0DP08	P0DP08	HVD82_HUMAN	reviewed	Immunoglobulin heavy variable 4-38-2	IGHV4-38-2	Homo sapiens (Human)	117
A0A0C4DH55	A0A0C4DH55	KVD07_HUMAN	reviewed	Immunoglobulin kappa variable 3D-7	IGKV3D-7	Homo sapiens (Human)	119
A0A0C4DH68	A0A0C4DH68	KV224_HUMAN	reviewed	Immunoglobulin kappa variable 2-24	IGKV2-24	Homo sapiens (Human)	120
A0A0C4DH72	A0A0C4DH72	KV106_HUMAN	reviewed	Immunoglobulin kappa variable 1-6	IGKV1-6	Homo sapiens (Human)	117
A0A0J9YX35	A0A0J9YX35	HV64D_HUMAN	reviewed	Immunoglobulin heavy variable 3-64D	IGHV3-64D	Homo sapiens (Human)	117
A0A0J9YXX1	A0A0J9YXX1	HV5X1_HUMAN	reviewed	Immunoglobulin heavy variable 5-10-1	IGHV5-10-1	Homo sapiens (Human)	117
A0A1B0GTR4	A0A1B0GTR4	SPRR5_HUMAN	reviewed	Putative small proline-rich protein 5	SPRR5	Homo sapiens (Human)	108
A0FGR8	A0FGR8	ESYT2_HUMAN	reviewed	Extended synaptotagmin-2 (E-Syt2) (Chr2Syt)	ESYT2 FAM62B KIAA1228	Homo sapiens (Human)	921
A1L0T0	A1L0T0	ILVBL_HUMAN	reviewed	Acetolactate synthase-like protein (EC 2.2.1.-) (IlvB-like protein)	ILVBL AHAS	Homo sapiens (Human)	632
A3KMH1	A3KMH1	VWA8_HUMAN	reviewed	von Willebrand factor A domain-containing protein 8 (PEX7-binding protein 2) (P7BP2)	VWA8 KIAA0564	Homo sapiens (Human)	1905
A4UGR9	A4UGR9	XIRP2_HUMAN	reviewed	Xin actin-binding repeat-containing protein 2 (Beta-xin) (Cardiomyopathy-associated protein 3) (Xeplin)	XIRP2 CMYA3	Homo sapiens (Human)	3374
A6NDB9	A6NDB9	PALM3_HUMAN	reviewed	Paralemmin-3	PALM3	Homo sapiens (Human)	673
A6NFI3	A6NFI3	ZN316_HUMAN	reviewed	Zinc finger protein 316	ZNF316	Homo sapiens (Human)	1004
A6NHL2	A6NHL2	TBAL3_HUMAN	reviewed	Tubulin alpha chain-like 3	TUBAL3	Homo sapiens (Human)	446
A6NIE6	A6NIE6	RN3P2_HUMAN	reviewed	Putative RRN3-like protein RRN3P2 (RNA polymerase I transcription factor homolog pseudogene 2)	RRN3P2	Homo sapiens (Human)	340
A6NKT7	A6NKT7	RGPD3_HUMAN	reviewed	RanBP2-like and GRIP domain-containing protein 3	RGPD3 RGP3	Homo sapiens (Human)	1758
A6NMB1	A6NMB1	SIG16_HUMAN	reviewed	Sialic acid-binding Ig-like lectin 16 (Siglec-16) (Siglec-P16)	SIGLEC16 SIGLECP16	Homo sapiens (Human)	481
A6NN14	A6NN14	ZN729_HUMAN	reviewed	Zinc finger protein 729	ZNF729	Homo sapiens (Human)	1252
A7KAX9	A7KAX9	RHG32_HUMAN	reviewed	Rho GTPase-activating protein 32 (Brain-specific Rho GTPase-activating protein) (GAB-associated Cdc42/Rac GTPase-activating protein) (GC-GAP) (GTPase regulator interacting with TrkA) (Rho-type GTPase-activating protein 32) (Rho/Cdc42/Rac GTPase-activating protein RICS) (RhoGAP involved in the beta-catenin-N-cadherin and NMDA receptor signaling) (p200RhoGAP) (p250GAP)	ARHGAP32 GRIT KIAA0712 RICS	Homo sapiens (Human)	2087
A8K2U0	A8K2U0	A2ML1_HUMAN	reviewed	Alpha-2-macroglobulin-like protein 1 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 9)	A2ML1 CPAMD9	Homo sapiens (Human)	1454
A8K7I4	A8K7I4	CLCA1_HUMAN	reviewed	Calcium-activated chloride channel regulator 1 (EC 3.4.-.-) (Calcium-activated chloride channel family member 1) (hCLCA1) (Calcium-activated chloride channel protein 1) (CaCC-1) (hCaCC-1)	CLCA1 CACC1	Homo sapiens (Human)	914
A8MQ14	A8MQ14	ZN850_HUMAN	reviewed	Zinc finger protein 850	ZNF850	Homo sapiens (Human)	1090
P62308	P62308	RUXG_HUMAN	reviewed	Small nuclear ribonucleoprotein G (snRNP-G) (Sm protein G) (Sm-G) (SmG)	SNRPG PBSCG	Homo sapiens (Human)	76
A9UHW6	A9UHW6	MI4GD_HUMAN	reviewed	MIF4G domain-containing protein (SLBP-interacting protein 1) (hSLIP1)	MIF4GD SLIP1	Homo sapiens (Human)	222
P09429	P09429	HMGB1_HUMAN	reviewed	High mobility group protein B1 (High mobility group protein 1) (HMG-1)	HMGB1 HMG1	Homo sapiens (Human)	215
Q99613	Q99613	EIF3C_HUMAN	reviewed	Eukaryotic translation initiation factor 3 subunit C (eIF3c) (Eukaryotic translation initiation factor 3 subunit 8) (eIF3 p110)	EIF3C EIF3S8	Homo sapiens (Human)	913
Q5R372	Q5R372	RBG1L_HUMAN	reviewed	Rab GTPase-activating protein 1-like	RABGAP1L HHL KIAA0471	Homo sapiens (Human)	815
B9A064	B9A064	IGLL5_HUMAN	reviewed	Immunoglobulin lambda-like polypeptide 5 (G lambda-1) (Germline immunoglobulin lambda 1)	IGLL5	Homo sapiens (Human)	214
O76009	O76009	KT33A_HUMAN	reviewed	Keratin, type I cuticular Ha3-I (Hair keratin, type I Ha3-I) (Keratin-33A) (K33A)	KRT33A HHA3-I HKA3A KRTHA3A	Homo sapiens (Human)	404
Q13765	Q13765	NACA_HUMAN	reviewed	Nascent polypeptide-associated complex subunit alpha (NAC-alpha) (Alpha-NAC) (allergen Hom s 2)	NACA HSD48	Homo sapiens (Human)	215
O00116	O00116	ADAS_HUMAN	reviewed	Alkyldihydroxyacetonephosphate synthase, peroxisomal (Alkyl-DHAP synthase) (EC 2.5.1.26) (Aging-associated gene 5 protein) (Alkylglycerone-phosphate synthase)	AGPS AAG5	Homo sapiens (Human)	658
O00148	O00148	DX39A_HUMAN	reviewed	ATP-dependent RNA helicase DDX39A (EC 3.6.4.13) (DEAD box protein 39) (Nuclear RNA helicase URH49)	DDX39A DDX39	Homo sapiens (Human)	427
O00151	O00151	PDLI1_HUMAN	reviewed	PDZ and LIM domain protein 1 (C-terminal LIM domain protein 1) (Elfin) (LIM domain protein CLP-36)	PDLIM1 CLIM1 CLP36	Homo sapiens (Human)	329
O00159	O00159	MYO1C_HUMAN	reviewed	Unconventional myosin-Ic (Myosin I beta) (MMI-beta) (MMIb)	MYO1C	Homo sapiens (Human)	1063
O00160	O00160	MYO1F_HUMAN	reviewed	Unconventional myosin-If (Myosin-Ie)	MYO1F	Homo sapiens (Human)	1098
O00182	O00182	LEG9_HUMAN	reviewed	Galectin-9 (Gal-9) (Ecalectin) (Tumor antigen HOM-HD-21)	LGALS9	Homo sapiens (Human)	355
O00192	O00192	ARVC_HUMAN	reviewed	Armadillo repeat protein deleted in velo-cardio-facial syndrome	ARVCF	Homo sapiens (Human)	962
